ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,2.765,0.0000,0.0000,0.0000,0.0000,amorphous,0,0.000,20.0
1,2.766,0.0000,0.0000,0.0000,0.0000,amorphous,0,-1.690,20.0
2,2.758,0.0000,0.0000,0.0000,0.0000,amorphous,0,-7.424,20.0
3,2.791,0.0000,0.0000,0.0000,0.0000,amorphous,0,-18.748,20.0
4,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,-24.971,20.0
5,2.772,0.0000,0.0000,0.0000,0.0000,amorphous,0,-26.435,20.0
6,2.764,0.0000,0.0000,0.0000,0.0000,amorphous,0,27.612,20.0
7,2.768,0.0000,0.0000,0.0000,0.0000,amorphous,0,22.021,20.0
8,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,25.384,20.0
9,2.790,0.0000,0.0000,0.0000,0.0000,amorphous,0,23.757,20.0
10,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,15.568,20.0
11,2.771,0.0000,0.0000,0.0000,0.0000,amorphous,0,2.778,20.0
12,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,7.528,20.0
13,2.790,0.0000,0.0000,0.0000,0.0000,amorphous,0,-6.109,20.0
14,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,-13.984,20.0
15,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.599,20.0
16,2.764,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.893,20.0
17,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,-26.505,20.0
18,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,41.583,20.0
19,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,36.261,20.0
20,2.774,0.0000,0.0000,0.0000,0.0000,amorphous,0,25.533,20.0
21,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,12.866,20.0
22,2.771,0.0000,0.0000,0.0000,0.0000,amorphous,0,10.282,20.0
23,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,9.279,20.0
