ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac
0,2.765,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,intermediate,0,0.000,0.0
1,2.766,0.0167,0.0000,0.0476,0.0000,0.1000,0.3333,0,amorphous,0,-1.690,0.0
2,2.758,0.0219,0.0000,0.0625,0.0000,0.0667,0.2500,0,amorphous,0,-7.424,0.0
3,2.791,0.0250,0.0000,0.0714,0.0000,0.1538,0.4733,0,amorphous,0,-18.748,0.0
4,2.759,0.0219,0.0000,0.0625,0.0000,0.2667,0.6400,0,amorphous,0,-24.971,0.0
5,2.772,0.0000,0.0000,0.0000,0.0000,0.1667,0.5000,0,amorphous,0,-26.435,0.0
6,2.764,0.0437,0.1250,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,27.612,0.0
7,2.768,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,22.021,0.0
8,2.759,0.0269,0.0000,0.0769,0.0000,0.1667,0.5400,0,amorphous,0,25.384,0.0
9,2.790,0.0437,0.0000,0.1250,0.0000,0.2857,0.8067,1,intermediate,0,23.757,0.0
10,2.759,0.0292,0.0000,0.0833,0.0000,0.2000,0.4000,0,amorphous,0,15.568,0.0
11,2.771,0.0219,0.0000,0.0625,0.0000,0.1071,0.4400,0,amorphous,0,2.778,0.0
12,2.789,0.0130,0.0000,0.0000,0.0435,0.1163,0.4178,0,amorphous,0,7.528,0.0
13,2.790,0.0269,0.0000,0.0769,0.0000,0.0000,0.0000,0,amorphous,0,-6.109,0.0
14,2.775,0.0292,0.0000,0.0833,0.0000,0.3000,0.6000,0,amorphous,0,-13.984,0.0
15,2.789,0.0233,0.0000,0.0667,0.0000,0.0714,0.1250,0,amorphous,0,-15.599,0.0
16,2.764,0.0269,0.0000,0.0769,0.0000,0.1818,0.6400,0,amorphous,0,-15.893,0.0
17,2.787,0.0437,0.0000,0.1250,0.0000,0.1429,0.3333,0,intermediate,0,-26.505,0.0
18,2.789,0.0350,0.0000,0.1000,0.0000,0.2500,0.6667,0,amorphous,0,41.583,0.0
19,2.789,0.0269,0.0000,0.0769,0.0000,0.0909,0.2000,0,amorphous,0,36.261,0.0
20,2.774,0.0219,0.0000,0.0625,0.0000,0.0667,0.2500,0,amorphous,0,25.533,0.0
21,2.789,0.0182,0.0000,0.0000,0.0606,0.0938,0.3708,0,amorphous,0,12.866,0.0
22,2.771,0.0140,0.0000,0.0400,0.0000,0.0417,0.1250,0,amorphous,0,10.282,0.0
23,2.787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,9.279,0.0
24,8.260,0.0169,0.0000,0.0484,0.0000,0.1148,0.3344,0,intermediate,0,2.950,18.0
25,5.451,0.0132,0.0000,0.0377,0.0000,0.1731,0.3971,0,intermediate,0,-14.038,18.0
26,5.181,0.0244,0.0375,0.0000,0.0375,0.2152,0.4800,0,intermediate,0,13.106,18.0
27,8.631,0.0149,0.0426,0.0000,0.0000,0.2222,0.4626,0,intermediate,0,23.487,18.0
28,6.439,0.0241,0.0370,0.0000,0.0370,0.2051,0.4363,0,intermediate,0,16.884,18.0
29,9.765,0.0117,0.0000,0.0333,0.0000,0.2034,0.4127,0,intermediate,0,-12.737,18.0
30,6.417,0.0254,0.0435,0.0290,0.0000,0.1912,0.4108,0,intermediate,0,-10.146,18.0
