ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,2.765,0.0389,0.0000,0.1111,0.0000,amorphous,0,0.000,0.0
1,2.766,0.0269,0.0000,0.0769,0.0000,amorphous,0,-1.690,0.0
2,2.758,0.0250,0.0000,0.0714,0.0000,amorphous,0,-7.424,0.0
3,2.791,0.0437,0.0000,0.1250,0.0000,amorphous,0,-18.748,0.0
4,2.759,0.0318,0.0000,0.0909,0.0000,amorphous,0,-24.971,0.0
5,2.772,0.0318,0.0000,0.0909,0.0000,amorphous,0,-26.435,0.0
6,2.764,0.0389,0.0000,0.1111,0.0000,amorphous,0,27.612,0.0
7,2.768,0.0318,0.0000,0.0909,0.0000,amorphous,0,22.021,0.0
8,2.759,0.0250,0.0000,0.0714,0.0000,amorphous,0,25.384,0.0
9,2.790,0.0350,0.0000,0.1000,0.0000,amorphous,0,23.757,0.0
10,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,15.568,0.0
11,2.771,0.0159,0.0000,0.0455,0.0000,amorphous,0,2.778,0.0
12,2.789,0.0152,0.0000,0.0435,0.0000,amorphous,0,7.528,0.0
13,2.790,0.0437,0.1250,0.0000,0.0000,amorphous,0,-6.109,0.0
14,2.775,0.0219,0.0000,0.0625,0.0000,amorphous,0,-13.984,0.0
15,2.789,0.0269,0.0000,0.0769,0.0000,amorphous,0,-15.599,0.0
16,2.764,0.0318,0.0000,0.0909,0.0000,amorphous,0,-15.893,0.0
17,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,-26.505,0.0
18,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,41.583,0.0
19,2.789,0.0318,0.0000,0.0909,0.0000,amorphous,0,36.261,0.0
20,2.774,0.0206,0.0000,0.0588,0.0000,amorphous,0,25.533,0.0
21,2.789,0.0184,0.0000,0.0526,0.0000,amorphous,0,12.866,0.0
22,2.771,0.0318,0.0000,0.0909,0.0000,amorphous,0,10.282,0.0
23,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,9.279,0.0
24,4.246,0.0000,0.0000,0.0000,0.0000,amorphous,0,5.267,18.0
25,4.169,0.0000,0.0000,0.0000,0.0000,amorphous,0,6.995,18.0
26,7.615,0.0000,0.0000,0.0000,0.0000,amorphous,0,28.808,18.0
27,5.857,0.0000,0.0000,0.0000,0.0000,amorphous,0,-1.535,18.0
28,5.960,0.0167,0.0000,0.0476,0.0000,amorphous,0,9.102,18.0
29,3.900,0.0184,0.0000,0.0526,0.0000,amorphous,0,-4.598,18.0
30,4.245,0.0269,0.0769,0.0000,0.0000,amorphous,0,9.783,18.0
31,8.759,0.0350,0.0000,0.1000,0.0000,intermediate,0,-18.195,18.0
32,4.205,0.0000,0.0000,0.0000,0.0000,amorphous,0,6.966,18.0
33,3.618,0.0000,0.0000,0.0000,0.0000,amorphous,0,19.422,18.0
34,3.914,0.0000,0.0000,0.0000,0.0000,amorphous,0,-1.157,18.0
35,8.520,0.0206,0.0000,0.0588,0.0000,amorphous,0,21.355,18.0
36,6.820,0.0194,0.0000,0.0556,0.0000,amorphous,0,-10.283,18.0
37,5.337,0.0000,0.0000,0.0000,0.0000,amorphous,0,13.513,18.0
38,2.632,0.0219,0.0000,0.0625,0.0000,amorphous,0,-14.863,18.0
39,4.569,0.0140,0.0000,0.0400,0.0000,amorphous,0,-11.453,18.0
40,8.056,0.0318,0.0000,0.0909,0.0000,intermediate,0,18.090,18.0
41,5.975,0.0000,0.0000,0.0000,0.0000,amorphous,0,17.940,18.0
