ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,2.758,0.0000,0.0000,0.0000,0.0000,amorphous,0,0.008,20.0
1,2.792,0.0000,0.0000,0.0000,0.0000,amorphous,0,-0.630,20.0
2,2.760,0.0000,0.0000,0.0000,0.0000,amorphous,0,-1.681,20.0
3,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,-3.421,20.0
4,2.758,0.0000,0.0000,0.0000,0.0000,amorphous,0,-7.424,20.0
5,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,-13.468,20.0
6,2.791,0.0000,0.0000,0.0000,0.0000,amorphous,0,-18.748,20.0
7,2.782,0.0000,0.0000,0.0000,0.0000,amorphous,0,-24.012,20.0
8,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,-24.971,20.0
9,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,-28.573,20.0
10,2.772,0.0000,0.0000,0.0000,0.0000,amorphous,0,-26.435,20.0
11,2.764,0.0000,0.0000,0.0000,0.0000,amorphous,0,27.614,20.0
12,2.793,0.0000,0.0000,0.0000,0.0000,amorphous,0,23.504,20.0
13,2.768,0.0000,0.0000,0.0000,0.0000,amorphous,0,22.021,20.0
14,2.777,0.0000,0.0000,0.0000,0.0000,amorphous,0,22.559,20.0
15,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,25.384,20.0
16,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,25.730,20.0
17,2.790,0.0000,0.0000,0.0000,0.0000,amorphous,0,23.757,20.0
18,2.782,0.0000,0.0000,0.0000,0.0000,amorphous,0,19.282,20.0
19,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,15.568,20.0
20,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,8.745,20.0
21,2.771,0.0000,0.0000,0.0000,0.0000,amorphous,0,2.778,20.0
22,2.685,0.0000,0.0000,0.0000,0.0000,amorphous,0,7.360,20.0
23,2.781,0.0000,0.0000,0.0000,0.0000,amorphous,0,-0.483,20.0
24,2.790,0.0000,0.0000,0.0000,0.0000,amorphous,0,-6.109,20.0
25,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,-10.854,20.0
26,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,-13.984,20.0
27,2.767,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.208,20.0
28,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.599,20.0
29,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,-13.813,20.0
30,2.771,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.882,20.0
31,2.765,0.0000,0.0000,0.0000,0.0000,amorphous,0,-20.692,20.0
32,2.778,0.0000,0.0000,0.0000,0.0000,amorphous,0,-26.521,20.0
33,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,41.579,20.0
34,2.783,0.0000,0.0000,0.0000,0.0000,amorphous,0,39.167,20.0
35,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,36.261,20.0
36,2.788,0.0000,0.0000,0.0000,0.0000,amorphous,0,31.594,20.0
37,2.774,0.0000,0.0000,0.0000,0.0000,amorphous,0,25.533,20.0
38,2.767,0.0000,0.0000,0.0000,0.0000,amorphous,0,18.929,20.0
39,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,12.866,20.0
40,2.998,0.0000,0.0000,0.0000,0.0000,amorphous,0,11.269,20.0
41,2.765,0.0000,0.0000,0.0000,0.0000,amorphous,0,10.273,20.0
42,2.766,0.0000,0.0000,0.0000,0.0000,amorphous,0,8.740,20.0
43,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,9.279,20.0
