ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,2.758,0.0000,0.0000,0.0000,0.0000,amorphous,0,0.008,0.0
1,2.792,0.0000,0.0000,0.0000,0.0000,amorphous,0,-0.630,0.0
2,2.760,0.0000,0.0000,0.0000,0.0000,amorphous,0,-1.681,0.0
3,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,-3.421,0.0
4,2.758,0.0000,0.0000,0.0000,0.0000,amorphous,0,-7.424,0.0
5,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,-13.468,0.0
6,2.791,0.0389,0.0000,0.1111,0.0000,amorphous,0,-18.748,0.0
7,2.782,0.0000,0.0000,0.0000,0.0000,amorphous,0,-24.012,0.0
8,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,-24.971,0.0
9,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,-28.573,0.0
10,2.772,0.0000,0.0000,0.0000,0.0000,amorphous,0,-26.435,0.0
11,2.764,0.0000,0.0000,0.0000,0.0000,amorphous,0,27.614,0.0
12,2.793,0.0000,0.0000,0.0000,0.0000,amorphous,0,23.504,0.0
13,2.768,0.0000,0.0000,0.0000,0.0000,amorphous,0,22.021,0.0
14,2.777,0.0000,0.0000,0.0000,0.0000,amorphous,0,22.559,0.0
15,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,25.384,0.0
16,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,25.730,0.0
17,2.790,0.0000,0.0000,0.0000,0.0000,amorphous,0,23.757,0.0
18,2.782,0.0000,0.0000,0.0000,0.0000,amorphous,0,19.282,0.0
19,2.759,0.0000,0.0000,0.0000,0.0000,amorphous,0,15.568,0.0
20,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,8.745,0.0
21,2.771,0.0000,0.0000,0.0000,0.0000,amorphous,0,2.778,0.0
22,2.685,0.0000,0.0000,0.0000,0.0000,amorphous,0,7.360,0.0
23,2.781,0.0000,0.0000,0.0000,0.0000,amorphous,0,-0.483,0.0
24,2.790,0.0000,0.0000,0.0000,0.0000,amorphous,0,-6.109,0.0
25,2.787,0.0437,0.0000,0.1250,0.0000,amorphous,0,-10.854,0.0
26,2.775,0.0000,0.0000,0.0000,0.0000,amorphous,0,-13.984,0.0
27,2.767,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.208,0.0
28,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.599,0.0
29,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,-13.813,0.0
30,2.771,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.882,0.0
31,2.765,0.0000,0.0000,0.0000,0.0000,amorphous,0,-20.692,0.0
32,2.778,0.0000,0.0000,0.0000,0.0000,amorphous,0,-26.521,0.0
33,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,41.579,0.0
34,2.783,0.0000,0.0000,0.0000,0.0000,amorphous,0,39.167,0.0
35,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,36.261,0.0
36,2.788,0.0000,0.0000,0.0000,0.0000,amorphous,0,31.594,0.0
37,2.774,0.0000,0.0000,0.0000,0.0000,amorphous,0,25.533,0.0
38,2.767,0.0000,0.0000,0.0000,0.0000,amorphous,0,18.929,0.0
39,2.789,0.0000,0.0000,0.0000,0.0000,amorphous,0,12.866,0.0
40,2.998,0.0000,0.0000,0.0000,0.0000,amorphous,0,11.269,0.0
41,2.765,0.0000,0.0000,0.0000,0.0000,amorphous,0,10.273,0.0
42,2.766,0.0000,0.0000,0.0000,0.0000,amorphous,0,8.740,0.0
43,2.787,0.0000,0.0000,0.0000,0.0000,amorphous,0,9.279,0.0
44,17.084,0.0000,0.0000,0.0000,0.0000,amorphous,0,22.304,25.0
45,15.839,0.0000,0.0000,0.0000,0.0000,amorphous,0,36.984,25.0
46,17.731,0.0000,0.0000,0.0000,0.0000,amorphous,0,4.970,25.0
47,11.028,0.0000,0.0000,0.0000,0.0000,amorphous,0,33.669,25.0
48,18.478,0.0000,0.0000,0.0000,0.0000,amorphous,0,-27.546,25.0
49,17.078,0.0000,0.0000,0.0000,0.0000,amorphous,0,10.912,25.0
50,6.740,0.0000,0.0000,0.0000,0.0000,amorphous,0,-2.829,25.0
51,16.989,0.0000,0.0000,0.0000,0.0000,amorphous,0,47.952,25.0
52,15.129,0.0000,0.0000,0.0000,0.0000,amorphous,0,-13.220,25.0
53,11.830,0.0000,0.0000,0.0000,0.0000,amorphous,0,-36.229,25.0
54,8.142,0.0437,0.0000,0.1250,0.0000,amorphous,0,-8.928,25.0
55,16.653,0.0000,0.0000,0.0000,0.0000,amorphous,0,30.396,25.0
56,11.331,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.613,25.0
57,14.902,0.0000,0.0000,0.0000,0.0000,amorphous,0,-18.255,25.0
58,20.784,0.0000,0.0000,0.0000,0.0000,amorphous,0,-29.914,25.0
59,14.520,0.0000,0.0000,0.0000,0.0000,amorphous,0,-5.125,25.0
60,11.259,0.0000,0.0000,0.0000,0.0000,amorphous,0,21.573,25.0
61,14.410,0.0000,0.0000,0.0000,0.0000,amorphous,0,9.642,25.0
62,14.384,0.0000,0.0000,0.0000,0.0000,amorphous,0,21.578,25.0
63,20.506,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.137,25.0
64,15.700,0.0000,0.0000,0.0000,0.0000,amorphous,0,8.061,25.0
65,13.246,0.0000,0.0000,0.0000,0.0000,amorphous,0,-21.228,25.0
66,12.272,0.0000,0.0000,0.0000,0.0000,amorphous,0,32.965,25.0
67,12.795,0.0000,0.0000,0.0000,0.0000,amorphous,0,5.730,25.0
68,15.910,0.0000,0.0000,0.0000,0.0000,amorphous,0,19.441,25.0
69,19.634,0.0000,0.0000,0.0000,0.0000,amorphous,0,43.582,25.0
70,7.293,0.0000,0.0000,0.0000,0.0000,amorphous,0,-29.080,25.0
71,14.932,0.0000,0.0000,0.0000,0.0000,amorphous,0,0.945,25.0
72,11.649,0.0000,0.0000,0.0000,0.0000,amorphous,0,-8.467,25.0
73,16.712,0.0000,0.0000,0.0000,0.0000,amorphous,0,54.823,25.0
74,17.756,0.0000,0.0000,0.0000,0.0000,amorphous,0,13.761,25.0
75,18.743,0.0000,0.0000,0.0000,0.0000,amorphous,0,57.046,25.0
76,12.432,0.0000,0.0000,0.0000,0.0000,amorphous,0,-8.651,25.0
77,13.141,0.0000,0.0000,0.0000,0.0000,amorphous,0,-5.212,25.0
78,5.256,0.0000,0.0000,0.0000,0.0000,amorphous,0,-17.136,25.0
79,16.139,0.0000,0.0000,0.0000,0.0000,amorphous,0,38.253,25.0
80,10.061,0.0000,0.0000,0.0000,0.0000,amorphous,0,-15.360,25.0
81,7.471,0.0000,0.0000,0.0000,0.0000,amorphous,0,-32.245,25.0
82,15.255,0.0000,0.0000,0.0000,0.0000,amorphous,0,20.112,25.0
