ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,12.028,0.1625,0.2500,0.0000,0.2500,intermediate,0,44.368,20.0
1,9.734,0.1406,0.1875,0.0000,0.2500,intermediate,0,43.812,10.0
2,12.462,0.1733,0.2667,0.0000,0.2667,intermediate,0,46.555,20.0
3,10.850,0.0240,0.0000,0.0000,0.0800,amorphous,0,37.265,20.0
4,11.026,0.0565,0.0870,0.0000,0.0870,amorphous,0,35.185,20.0
5,7.193,0.0722,0.1111,0.0000,0.1111,amorphous,0,37.758,10.0
6,10.280,0.1895,0.3158,0.0000,0.2632,intermediate,0,47.046,20.0
7,7.531,0.1795,0.3182,0.0000,0.2273,intermediate,0,44.141,10.0
8,8.576,0.0783,0.1000,0.0667,0.0667,amorphous,0,32.785,10.0
9,12.496,0.1125,0.1500,0.0000,0.2000,intermediate,0,33.784,20.0
10,8.553,0.0464,0.0714,0.0000,0.0714,amorphous,0,33.709,10.0
11,10.324,0.0571,0.0714,0.0000,0.1071,amorphous,0,32.749,10.0
12,12.009,0.0591,0.0909,0.0000,0.0909,amorphous,0,34.396,20.0
13,7.503,0.0703,0.0938,0.0000,0.1250,amorphous,0,40.068,10.0
14,8.132,0.1960,0.3200,0.0000,0.2800,intermediate,0,46.256,10.0
15,9.377,0.0481,0.0741,0.0000,0.0741,amorphous,0,32.461,10.0
16,5.742,0.0250,0.0000,0.0000,0.0833,amorphous,0,36.994,6.0
17,11.292,0.1500,0.1364,0.1364,0.1818,intermediate,0,40.264,20.0
18,8.976,0.0885,0.0769,0.0769,0.1154,amorphous,0,33.314,10.0
19,12.234,0.0975,0.1500,0.0000,0.1500,intermediate,0,32.426,20.0
20,11.867,0.1571,0.1905,0.0952,0.1905,intermediate,0,32.963,20.0
21,8.750,0.0635,0.1154,0.0000,0.0769,amorphous,0,31.126,10.0
22,12.470,0.2031,0.3125,0.0000,0.3125,intermediate,0,49.258,20.0
23,8.816,0.1121,0.1724,0.0000,0.1724,intermediate,0,43.173,10.0
24,8.083,0.1300,0.2000,0.0000,0.2000,intermediate,0,43.751,10.0
25,9.467,0.1067,0.1333,0.0000,0.2000,intermediate,0,41.397,10.0
26,3.384,0.0938,0.1250,0.0000,0.1667,intermediate,0,38.690,6.0
27,8.534,0.0821,0.0714,0.0714,0.1071,amorphous,0,33.383,10.0
28,10.369,0.0481,0.0741,0.0000,0.0741,amorphous,0,33.554,20.0
29,6.001,0.0736,0.0833,0.0556,0.0833,amorphous,0,29.323,6.0
30,4.785,0.0819,0.1389,0.0000,0.1111,amorphous,0,40.250,6.0
31,12.644,0.1219,0.1875,0.0000,0.1875,intermediate,0,30.987,20.0
32,5.160,0.0486,0.0571,0.0571,0.0286,amorphous,0,30.130,6.0
33,4.692,0.0219,0.0625,0.0000,0.0000,amorphous,0,28.769,6.0
34,6.583,0.0922,0.0938,0.0625,0.1250,amorphous,0,33.807,10.0
35,10.023,0.0886,0.1364,0.0000,0.1364,intermediate,0,34.362,10.0
36,12.172,0.1045,0.0909,0.0909,0.1364,amorphous,0,34.095,20.0
37,8.626,0.0515,0.0882,0.0588,0.0000,amorphous,0,28.816,10.0
38,12.172,0.2105,0.2105,0.2105,0.2105,intermediate,0,41.583,20.0
39,2.992,0.1017,0.1724,0.0000,0.1379,intermediate,0,41.121,6.0
40,8.398,0.1553,0.2632,0.0000,0.2105,intermediate,0,46.771,10.0
41,9.907,0.1222,0.2222,0.0000,0.1481,intermediate,0,29.790,10.0
42,7.883,0.0226,0.0000,0.0645,0.0000,amorphous,0,29.808,10.0
43,11.855,0.1219,0.1875,0.0000,0.1875,intermediate,0,49.462,20.0
44,11.807,0.0975,0.1500,0.0000,0.1500,intermediate,0,45.466,20.0
45,5.906,0.0261,0.0000,0.0000,0.0870,amorphous,0,32.631,6.0
46,3.499,0.0550,0.1000,0.0000,0.0667,amorphous,0,35.887,6.0
47,9.243,0.0821,0.1429,0.0000,0.1071,amorphous,0,31.996,10.0
48,4.438,0.0646,0.0732,0.0488,0.0732,amorphous,0,27.376,6.0
49,4.788,0.0488,0.0750,0.0000,0.0750,amorphous,0,27.256,6.0
50,9.149,0.0000,0.0000,0.0000,0.0000,amorphous,0,28.960,10.0
51,10.241,0.1720,0.2000,0.1200,0.2000,intermediate,0,41.924,20.0
52,7.459,0.0897,0.1379,0.0000,0.1379,intermediate,0,41.987,10.0
53,5.539,0.0857,0.1143,0.0571,0.0857,amorphous,0,27.082,6.0
54,5.255,0.0650,0.1000,0.0000,0.1000,amorphous,0,26.224,6.0
55,8.933,0.0981,0.1852,0.0000,0.1111,amorphous,0,29.746,10.0
56,4.107,0.0485,0.0606,0.0000,0.0909,amorphous,0,28.564,6.0
57,12.517,0.2125,0.3500,0.0000,0.3000,intermediate,0,30.282,20.0
58,8.970,0.2000,0.3077,0.0000,0.3077,intermediate,0,44.200,10.0
59,7.599,0.0750,0.1154,0.0000,0.1154,amorphous,0,32.556,10.0
60,12.594,0.0825,0.1500,0.0000,0.1000,amorphous,0,31.701,20.0
