ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,15.806,0.3120,0.3478,0.2826,0.3043,crystalline,0,45.625,20.0
1,17.619,0.3272,0.3913,0.2826,0.3043,crystalline,0,43.100,20.0
2,17.958,0.2911,0.3333,0.2889,0.2444,crystalline,0,43.388,20.0
3,13.540,0.2686,0.3137,0.2353,0.2549,crystalline,0,45.008,20.0
4,14.690,0.1906,0.3125,0.0000,0.2708,intermediate,0,42.512,20.0
5,17.093,0.3213,0.4043,0.2766,0.2766,crystalline,0,40.357,20.0
6,21.074,0.1593,0.2558,0.0000,0.2326,intermediate,0,46.710,30.0
7,15.823,0.2692,0.3077,0.2308,0.2692,crystalline,0,39.801,20.0
8,19.789,0.1674,0.2791,0.0000,0.2326,intermediate,0,49.313,20.0
9,20.346,0.3277,0.4255,0.2553,0.2979,crystalline,0,43.693,30.0
10,16.229,0.3035,0.3721,0.2558,0.2791,crystalline,0,48.337,20.0
11,11.450,0.1094,0.1875,0.0000,0.1458,intermediate,0,38.948,20.0
12,23.135,0.1620,0.2391,0.0000,0.2609,intermediate,0,47.295,30.0
13,13.035,0.1596,0.2553,0.0000,0.2340,intermediate,0,47.757,20.0
14,21.437,0.1830,0.3000,0.0000,0.2600,intermediate,0,43.989,30.0
15,18.338,0.1420,0.2500,0.0000,0.1818,intermediate,0,48.607,20.0
16,13.709,0.1468,0.2553,0.0000,0.1915,intermediate,0,41.990,20.0
17,22.733,0.1692,0.3077,0.0000,0.2051,intermediate,0,49.717,30.0
18,20.207,0.3349,0.4419,0.2558,0.3023,crystalline,0,46.197,30.0
19,10.003,0.1468,0.2553,0.0000,0.1915,intermediate,0,44.233,20.0
20,15.864,0.1539,0.2549,0.0000,0.2157,intermediate,0,39.376,20.0
21,11.854,0.0961,0.1569,0.0000,0.1373,intermediate,0,35.892,20.0
22,13.627,0.1872,0.2979,0.0000,0.2766,intermediate,0,41.829,20.0
23,13.092,0.0970,0.1400,0.0000,0.1600,intermediate,0,36.942,20.0
24,12.441,0.1276,0.2245,0.0000,0.1633,intermediate,0,38.348,20.0
25,19.192,0.2860,0.3256,0.2326,0.3023,crystalline,0,48.916,20.0
26,19.411,0.1427,0.2292,0.0000,0.2083,intermediate,0,46.051,20.0
27,21.955,0.1375,0.2000,0.0000,0.2250,intermediate,0,52.255,30.0
28,19.402,0.0923,0.1538,0.0000,0.1282,intermediate,0,52.103,20.0
29,16.569,0.1977,0.2273,0.1818,0.1818,intermediate,0,38.744,20.0
30,19.562,0.3212,0.4038,0.2500,0.3077,crystalline,0,40.997,20.0
31,20.167,0.1707,0.2826,0.0000,0.2391,intermediate,0,43.466,30.0
32,15.671,0.2927,0.3750,0.2292,0.2708,crystalline,0,37.550,20.0
33,23.248,0.1784,0.2955,0.0000,0.2500,intermediate,0,44.618,30.0
34,9.286,0.2744,0.3333,0.2222,0.2667,crystalline,0,44.103,10.0
35,7.721,0.1400,0.1600,0.1200,0.1400,intermediate,0,38.852,10.0
36,12.331,0.1471,0.2353,0.0000,0.2157,intermediate,0,44.398,20.0
37,13.912,0.1745,0.2979,0.0000,0.2340,intermediate,0,37.008,20.0
38,16.397,0.1475,0.2500,0.0000,0.2000,intermediate,0,51.182,20.0
39,24.075,0.1097,0.1944,0.0000,0.1389,intermediate,0,51.814,30.0
40,10.933,0.0958,0.1667,0.0000,0.1250,intermediate,0,37.692,20.0
