ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,17.147,0.1857,0.2857,0.0000,0.2857,intermediate,0,39.692,20.0
1,19.772,0.1714,0.2857,0.0000,0.2381,intermediate,0,39.768,20.0
2,15.545,0.1820,0.2800,0.0000,0.2800,intermediate,0,40.597,20.0
3,15.368,0.1312,0.1875,0.0000,0.2188,intermediate,0,34.539,20.0
4,17.019,0.1750,0.2857,0.0000,0.2500,intermediate,0,40.591,20.0
5,20.221,0.1614,0.2273,0.0000,0.2727,intermediate,0,39.442,30.0
6,19.852,0.1700,0.2800,0.0000,0.2400,intermediate,0,40.381,20.0
7,16.818,0.1479,0.2083,0.0000,0.2500,intermediate,0,33.407,20.0
8,14.736,0.1368,0.2105,0.0000,0.2105,intermediate,0,37.719,20.0
9,11.413,0.1448,0.2069,0.0000,0.2414,intermediate,0,34.146,20.0
10,13.575,0.1917,0.3333,0.0000,0.2500,intermediate,0,40.538,20.0
11,14.627,0.1109,0.1562,0.0000,0.1875,intermediate,0,32.197,20.0
12,11.051,0.0959,0.1351,0.0000,0.1622,intermediate,0,31.789,20.0
13,14.307,0.0900,0.1500,0.0000,0.1250,intermediate,0,34.115,20.0
14,11.575,0.1382,0.2368,0.0000,0.1842,intermediate,0,37.392,20.0
15,14.462,0.1773,0.2727,0.0000,0.2727,intermediate,0,33.324,20.0
16,16.497,0.1581,0.2581,0.0000,0.2258,intermediate,0,41.376,20.0
17,15.810,0.0722,0.1111,0.0000,0.1111,amorphous,0,33.008,20.0
18,8.145,0.1288,0.2121,0.0000,0.1818,intermediate,0,31.769,10.0
19,13.236,0.0697,0.1212,0.0000,0.0909,amorphous,0,32.004,20.0
20,7.706,0.1197,0.1842,0.0000,0.1842,intermediate,0,35.103,10.0
21,14.276,0.1704,0.2963,0.0000,0.2222,intermediate,0,41.437,20.0
22,20.535,0.1477,0.2273,0.0000,0.2273,intermediate,0,39.359,30.0
23,12.899,0.1960,0.3200,0.0000,0.2800,intermediate,0,41.241,20.0
24,16.937,0.1256,0.2051,0.0000,0.1795,intermediate,0,36.987,20.0
25,9.821,0.1500,0.2143,0.0000,0.2500,intermediate,0,34.138,10.0
26,20.201,0.1690,0.2759,0.0000,0.2414,intermediate,0,40.264,30.0
27,10.823,0.0703,0.1081,0.0000,0.1081,amorphous,0,29.603,20.0
28,18.832,0.1586,0.2571,0.0000,0.2286,intermediate,0,41.203,20.0
29,8.527,0.0806,0.1111,0.0000,0.1389,amorphous,0,28.792,10.0
30,18.156,0.1031,0.1875,0.0000,0.1250,intermediate,0,32.519,20.0
31,10.503,0.0382,0.0000,0.0588,0.0588,amorphous,0,30.560,20.0
32,7.717,0.1241,0.2069,0.0000,0.1724,intermediate,0,35.201,10.0
33,11.051,0.1211,0.2105,0.0000,0.1579,intermediate,0,37.350,20.0
34,17.400,0.0848,0.1304,0.0000,0.1304,intermediate,0,32.230,20.0
35,5.170,0.0855,0.1316,0.0000,0.1316,intermediate,0,31.588,6.0
36,17.415,0.1361,0.2222,0.0000,0.1944,intermediate,0,37.349,20.0
37,11.883,0.0800,0.1333,0.0000,0.1111,amorphous,0,33.788,20.0
38,13.728,0.0879,0.1034,0.0000,0.1724,amorphous,0,31.885,20.0
39,21.040,0.1790,0.2903,0.0000,0.2581,intermediate,0,40.929,30.0
40,11.939,0.1040,0.1600,0.0000,0.1600,intermediate,0,27.119,20.0
41,8.839,0.0929,0.1429,0.0000,0.1429,intermediate,0,26.151,10.0
42,8.356,0.0300,0.0857,0.0000,0.0000,amorphous,0,26.136,10.0
43,13.794,0.1405,0.2162,0.0000,0.2162,intermediate,0,37.255,20.0
44,16.564,0.1233,0.2000,0.0000,0.1778,intermediate,0,36.976,20.0
45,20.983,0.1381,0.1905,0.0000,0.2381,intermediate,0,39.557,30.0
46,10.344,0.0650,0.1000,0.0000,0.1000,amorphous,0,26.348,20.0
47,11.022,0.0970,0.1212,0.0000,0.1818,intermediate,0,26.117,20.0
48,15.171,0.1518,0.2500,0.0000,0.2143,intermediate,0,42.337,20.0
49,8.809,0.1059,0.1765,0.0000,0.1471,intermediate,0,36.873,10.0
50,21.129,0.1795,0.3182,0.0000,0.2273,intermediate,0,40.445,30.0
51,14.241,0.1053,0.2105,0.0000,0.1053,amorphous,0,26.937,20.0
52,13.947,0.0812,0.1250,0.0000,0.1250,intermediate,0,32.897,20.0
53,2.718,0.0833,0.1282,0.0000,0.1282,intermediate,0,31.210,6.0
54,19.621,0.1405,0.2162,0.0000,0.2162,intermediate,0,42.176,20.0
55,18.528,0.1071,0.1429,0.0000,0.1905,intermediate,0,32.175,20.0
56,16.447,0.0911,0.1071,0.0000,0.1786,amorphous,0,32.924,20.0
57,9.593,0.0722,0.1111,0.0000,0.1111,amorphous,0,29.408,10.0
58,17.339,0.1611,0.2222,0.0000,0.2778,intermediate,0,42.274,20.0
59,11.908,0.0650,0.1000,0.0000,0.1000,amorphous,0,26.507,20.0
60,4.164,0.0561,0.0976,0.0000,0.0732,amorphous,0,27.812,6.0
