ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,17.148,0.2825,0.3500,0.2000,0.3000,crystalline,0,39.779,0.0
1,19.698,0.2857,0.3333,0.2381,0.2857,crystalline,0,39.684,0.0
2,15.527,0.2917,0.3750,0.2083,0.2917,crystalline,0,40.580,0.0
3,15.225,0.1937,0.1875,0.1250,0.2812,intermediate,0,34.185,0.0
4,16.970,0.2964,0.3571,0.2143,0.3214,crystalline,0,40.563,0.0
5,20.217,0.2409,0.3182,0.1364,0.2727,intermediate,0,39.455,0.0
6,19.726,0.2808,0.3462,0.1923,0.3077,crystalline,0,40.256,0.0
7,16.763,0.2208,0.2500,0.1667,0.2500,intermediate,0,33.400,0.0
8,14.584,0.2342,0.2632,0.1579,0.2895,intermediate,0,37.490,0.0
9,11.354,0.2414,0.2759,0.2069,0.2414,intermediate,0,34.085,0.0
10,13.497,0.3196,0.3913,0.2609,0.3043,crystalline,0,40.463,0.0
11,14.558,0.1844,0.1875,0.1250,0.2500,intermediate,0,32.156,0.0
12,11.098,0.1689,0.1622,0.1351,0.2162,intermediate,0,31.848,0.0
13,14.182,0.1737,0.2000,0.1250,0.2000,intermediate,0,33.956,0.0
14,11.482,0.2092,0.2368,0.1579,0.2368,intermediate,0,37.283,0.0
15,14.380,0.2727,0.3182,0.2273,0.2727,crystalline,0,33.282,0.0
16,16.522,0.2883,0.3333,0.2333,0.3000,crystalline,0,41.364,0.0
17,15.852,0.2107,0.1786,0.1786,0.2857,intermediate,0,33.076,0.0
18,7.979,0.1750,0.1765,0.1471,0.2059,intermediate,0,31.431,0.0
19,12.761,0.1632,0.1471,0.1176,0.2353,intermediate,0,31.625,0.0
20,7.690,0.2118,0.2368,0.2105,0.1842,intermediate,0,35.201,0.0
21,14.304,0.2833,0.3333,0.2222,0.2963,crystalline,0,41.460,0.0
22,20.531,0.2705,0.2727,0.2273,0.3182,crystalline,0,39.360,0.0
23,12.932,0.3208,0.3750,0.2917,0.2917,crystalline,0,41.265,0.0
24,17.071,0.1908,0.2105,0.1316,0.2368,intermediate,0,36.976,0.0
25,9.792,0.2981,0.3333,0.2963,0.2593,crystalline,0,34.180,0.0
26,20.168,0.2875,0.3571,0.2500,0.2500,crystalline,0,40.240,0.0
27,10.712,0.1179,0.1026,0.1026,0.1538,amorphous,0,29.335,0.0
28,18.786,0.2471,0.2857,0.2000,0.2571,intermediate,0,41.136,0.0
29,8.484,0.1074,0.1176,0.0882,0.1176,amorphous,0,28.303,0.0
30,18.109,0.2062,0.1875,0.1875,0.2500,intermediate,0,32.504,0.0
31,10.190,0.1000,0.0833,0.0833,0.1389,amorphous,0,30.253,0.0
32,7.506,0.2567,0.2667,0.2667,0.2333,crystalline,0,34.981,0.0
33,10.946,0.2225,0.2250,0.1750,0.2750,intermediate,0,37.181,0.0
34,17.459,0.2048,0.1905,0.1905,0.2381,intermediate,0,32.276,0.0
35,4.983,0.1412,0.1500,0.1250,0.1500,intermediate,0,31.133,0.0
36,16.989,0.2184,0.2632,0.1579,0.2368,intermediate,0,36.937,0.0
37,11.695,0.1261,0.2045,0.0000,0.1818,intermediate,0,33.646,0.0
38,13.658,0.1625,0.1250,0.1250,0.2500,intermediate,0,31.832,0.0
39,21.153,0.2783,0.3333,0.2333,0.2667,crystalline,0,41.041,0.0
40,11.938,0.1769,0.1538,0.1538,0.2308,intermediate,0,27.099,0.0
41,8.551,0.1129,0.1143,0.0857,0.1429,amorphous,0,25.883,0.0
42,8.268,0.0943,0.0857,0.0857,0.1143,amorphous,0,26.090,0.0
43,13.606,0.1654,0.2308,0.0000,0.2821,intermediate,0,36.858,0.0
44,16.459,0.2023,0.2273,0.1364,0.2500,intermediate,0,36.857,0.0
45,20.957,0.2357,0.2857,0.1429,0.2857,intermediate,0,39.556,0.0
46,9.700,0.1345,0.1034,0.1034,0.2069,amorphous,0,25.854,0.0
47,10.821,0.1500,0.1212,0.1515,0.1818,intermediate,0,25.997,0.0
48,15.113,0.2607,0.2857,0.2143,0.2857,crystalline,0,42.262,0.0
49,8.698,0.2029,0.2059,0.1471,0.2647,intermediate,0,36.764,0.0
50,21.020,0.2891,0.3478,0.2174,0.3043,crystalline,0,40.357,0.0
51,14.168,0.2105,0.2105,0.2105,0.2105,intermediate,0,26.905,0.0
52,13.702,0.1378,0.1707,0.0976,0.1463,intermediate,0,32.595,0.0
53,2.614,0.1780,0.1707,0.1707,0.1951,intermediate,0,31.122,0.0
54,19.390,0.2324,0.2703,0.1622,0.2703,intermediate,0,41.938,0.0
55,18.519,0.1950,0.1500,0.1500,0.3000,intermediate,0,32.180,0.0
56,16.710,0.2056,0.1481,0.1852,0.2963,intermediate,0,33.177,0.0
57,9.567,0.1069,0.1389,0.0000,0.1944,intermediate,0,29.474,0.0
58,17.346,0.2729,0.2857,0.2000,0.3429,crystalline,0,42.244,0.0
59,11.537,0.1400,0.1000,0.1000,0.2333,amorphous,0,26.190,0.0
60,4.294,0.1012,0.1163,0.0930,0.0930,amorphous,0,27.473,0.0
61,8.080,0.2680,0.2800,0.2800,0.2400,crystalline,0,35.287,0.0
62,8.841,0.2238,0.2500,0.1750,0.2500,intermediate,0,26.634,0.0
63,9.003,0.0956,0.0882,0.0588,0.1471,amorphous,0,27.021,0.0
64,14.076,0.1456,0.1176,0.1471,0.1765,intermediate,0,31.719,0.0
65,10.531,0.1176,0.1176,0.1176,0.1176,amorphous,0,25.614,0.0
66,6.956,0.2450,0.2333,0.2667,0.2333,intermediate,0,35.860,0.0
67,13.421,0.0875,0.1136,0.0000,0.1591,amorphous,0,33.426,0.0
68,7.370,0.1659,0.1591,0.1591,0.1818,intermediate,0,26.744,0.0
69,13.951,0.2609,0.3043,0.2174,0.2609,crystalline,0,42.144,0.0
70,14.941,0.1675,0.2000,0.1500,0.1500,intermediate,0,26.999,0.0
71,8.257,0.1423,0.2308,0.0000,0.2051,intermediate,0,27.445,0.0
72,17.311,0.2000,0.2571,0.1429,0.2000,intermediate,0,37.127,0.0
73,5.124,0.2298,0.2381,0.2143,0.2381,intermediate,0,24.943,0.0
74,14.198,0.2417,0.2778,0.2222,0.2222,intermediate,0,26.202,0.0
75,7.413,0.1390,0.1463,0.1463,0.1220,intermediate,0,25.441,0.0
76,21.227,0.2530,0.3030,0.2121,0.2424,crystalline,0,41.236,0.0
77,16.639,0.1767,0.2093,0.1163,0.2093,intermediate,0,36.535,0.0
78,18.426,0.1522,0.0000,0.1739,0.3043,intermediate,0,32.375,0.0
79,7.745,0.2190,0.2759,0.1724,0.2069,intermediate,0,28.909,0.0
80,11.124,0.2521,0.3333,0.2083,0.2083,crystalline,0,28.106,0.0
81,11.519,0.1125,0.0938,0.0938,0.1562,amorphous,0,30.355,0.0
82,10.762,0.1061,0.1212,0.0000,0.2121,intermediate,0,25.868,0.0
83,5.590,0.2087,0.2750,0.1500,0.2000,intermediate,0,22.447,0.0
84,13.185,0.1864,0.2045,0.1136,0.2500,intermediate,0,36.756,0.0
85,6.167,0.1136,0.1136,0.1136,0.1136,amorphous,0,30.806,0.0
86,8.027,0.2727,0.2727,0.2727,0.2727,crystalline,0,36.089,0.0
87,22.485,0.3167,0.3333,0.2857,0.3333,crystalline,0,39.460,0.0
88,10.085,0.1703,0.1622,0.1622,0.1892,intermediate,0,36.663,0.0
89,2.875,0.1634,0.1707,0.1707,0.1463,intermediate,0,31.020,0.0
90,25.768,0.3577,0.4615,0.2308,0.3846,crystalline,0,47.420,0.0
91,21.924,0.2432,0.2973,0.1892,0.2432,intermediate,0,41.921,0.0
92,7.359,0.1703,0.1892,0.1351,0.1892,intermediate,0,25.929,0.0
93,21.926,0.3208,0.4167,0.2500,0.2917,crystalline,0,40.339,0.0
94,5.577,0.2618,0.2895,0.2105,0.2895,crystalline,0,25.135,0.0
95,2.579,0.1152,0.1304,0.0870,0.1304,intermediate,0,26.657,0.0
96,9.139,0.1261,0.1136,0.0909,0.1818,amorphous,0,29.260,0.0
97,15.399,0.2194,0.2222,0.1667,0.2778,intermediate,0,25.896,0.0
98,11.206,0.1346,0.1282,0.1026,0.1795,intermediate,0,36.549,0.0
99,16.860,0.2051,0.2564,0.1538,0.2051,intermediate,0,36.793,0.0
100,7.232,0.2284,0.3182,0.1591,0.2045,intermediate,0,21.342,0.0
101,4.724,0.2319,0.2778,0.1944,0.2222,intermediate,0,20.938,0.0
102,6.259,0.1250,0.2143,0.0000,0.1667,intermediate,0,23.936,0.0
103,9.251,0.2017,0.2000,0.2333,0.1667,intermediate,0,36.661,0.0
104,15.549,0.1917,0.2083,0.1250,0.2500,intermediate,0,25.879,0.0
105,4.095,0.2032,0.1935,0.1935,0.2258,intermediate,0,29.788,0.0
106,4.067,0.2333,0.4222,0.2444,0.0000,intermediate,0,21.266,0.0
107,18.613,0.2750,0.3333,0.1667,0.3333,crystalline,0,43.046,0.0
108,7.109,0.1566,0.1579,0.1316,0.1842,intermediate,0,25.688,0.0
109,3.504,0.1476,0.1707,0.1463,0.1220,intermediate,0,29.815,0.0
110,18.462,0.2342,0.2632,0.1579,0.2895,intermediate,0,37.260,0.0
111,22.066,0.2371,0.2571,0.2000,0.2571,intermediate,0,42.038,0.0
112,21.877,0.3096,0.3846,0.2692,0.2692,crystalline,0,41.142,0.0
113,3.665,0.1750,0.3333,0.0000,0.1944,intermediate,0,19.853,0.0
114,16.595,0.1810,0.1379,0.1724,0.2414,intermediate,0,31.927,0.0
115,2.082,0.3250,0.3684,0.2895,0.3158,crystalline,0,22.136,0.0
116,9.030,0.2761,0.3478,0.2174,0.2609,crystalline,0,23.586,0.0
117,12.798,0.1300,0.1250,0.0750,0.2000,intermediate,0,32.695,0.0
118,15.397,0.1250,0.0909,0.0909,0.2045,amorphous,0,36.225,0.0
119,6.285,0.1895,0.3023,0.0000,0.2791,intermediate,0,26.356,0.0
120,13.155,0.0919,0.0968,0.0000,0.1935,amorphous,0,26.285,0.0
121,16.013,0.2891,0.3043,0.2609,0.3043,crystalline,0,42.945,0.0
122,7.145,0.1318,0.1818,0.0909,0.1212,intermediate,0,20.441,0.0
123,17.493,0.1479,0.1489,0.1277,0.1702,intermediate,0,36.433,0.0
