ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,17.788,0.1593,0.2558,0.0000,0.2326,intermediate,0,38.417,20.0
1,14.470,0.1773,0.2727,0.0000,0.2727,intermediate,0,35.661,20.0
2,17.923,0.2118,0.2895,0.1579,0.1842,intermediate,0,39.719,20.0
3,12.100,0.2598,0.2826,0.2174,0.2826,crystalline,0,34.638,20.0
4,16.305,0.1660,0.2553,0.0000,0.2553,intermediate,0,41.029,20.0
5,20.193,0.1378,0.2222,0.0000,0.2000,intermediate,0,39.349,30.0
6,13.470,0.2066,0.3421,0.0000,0.2895,intermediate,0,40.031,20.0
7,19.514,0.1550,0.2500,0.0000,0.2250,intermediate,0,43.783,20.0
8,15.238,0.2319,0.2778,0.1944,0.2222,intermediate,0,35.153,20.0
9,16.087,0.2742,0.3030,0.2727,0.2424,crystalline,0,38.417,20.0
10,14.911,0.1372,0.2326,0.0000,0.1860,intermediate,0,34.592,20.0
11,21.430,0.1622,0.3243,0.0000,0.1622,intermediate,0,42.408,30.0
12,12.323,0.2543,0.2571,0.2000,0.3143,crystalline,0,35.644,20.0
13,16.038,0.2719,0.3333,0.2292,0.2500,crystalline,0,33.006,20.0
14,19.477,0.1625,0.2500,0.0000,0.2500,intermediate,0,44.957,20.0
15,17.311,0.1370,0.2609,0.0000,0.1522,intermediate,0,39.818,20.0
16,17.771,0.2273,0.2727,0.1818,0.2273,intermediate,0,33.887,20.0
17,23.387,0.1674,0.2791,0.0000,0.2326,intermediate,0,43.285,30.0
18,23.787,0.1956,0.3111,0.0000,0.2889,intermediate,0,42.286,30.0
19,13.979,0.2714,0.2500,0.2500,0.3214,crystalline,0,41.078,20.0
20,10.009,0.2782,0.2821,0.2051,0.3590,crystalline,0,37.164,20.0
21,16.663,0.2648,0.2955,0.2273,0.2727,crystalline,0,34.059,20.0
22,8.955,0.2733,0.3111,0.2222,0.2889,crystalline,0,31.808,10.0
23,22.510,0.1545,0.2273,0.0000,0.2500,intermediate,0,44.863,30.0
24,12.588,0.2378,0.2889,0.2000,0.2222,intermediate,0,30.192,20.0
25,17.771,0.1840,0.3200,0.0000,0.2400,intermediate,0,43.902,20.0
26,21.328,0.2000,0.2444,0.1556,0.2000,intermediate,0,36.896,30.0
27,22.189,0.2261,0.2826,0.1957,0.1957,intermediate,0,37.920,30.0
28,18.745,0.2337,0.2558,0.2326,0.2093,intermediate,0,38.195,20.0
29,11.044,0.2523,0.3182,0.2273,0.2045,crystalline,0,35.930,20.0
30,15.447,0.2488,0.2558,0.2558,0.2326,intermediate,0,35.399,20.0
31,14.746,0.1372,0.2326,0.0000,0.1860,intermediate,0,37.144,20.0
32,10.376,0.2337,0.3043,0.1957,0.1957,intermediate,0,30.707,20.0
33,11.960,0.1532,0.2553,0.0000,0.2128,intermediate,0,31.623,20.0
34,20.529,0.1744,0.2889,0.0000,0.2444,intermediate,0,37.067,30.0
35,16.655,0.2122,0.2439,0.1951,0.1951,intermediate,0,33.012,20.0
36,22.276,0.1404,0.2692,0.0000,0.1538,intermediate,0,43.436,30.0
37,12.384,0.2178,0.2889,0.2000,0.1556,intermediate,0,29.095,20.0
38,14.175,0.2310,0.2619,0.2143,0.2143,intermediate,0,29.962,20.0
39,23.287,0.1547,0.2812,0.0000,0.1875,intermediate,0,47.719,30.0
40,20.679,0.1348,0.2174,0.0000,0.1957,intermediate,0,40.829,30.0
41,23.288,0.1942,0.2093,0.1860,0.1860,intermediate,0,43.358,30.0
42,10.803,0.2222,0.2667,0.1778,0.2222,intermediate,0,29.181,20.0
43,13.577,0.1976,0.2381,0.1429,0.2143,intermediate,0,30.282,20.0
44,7.848,0.2242,0.1935,0.2258,0.2581,intermediate,0,36.267,10.0
45,11.506,0.2848,0.3478,0.1304,0.3913,crystalline,0,35.020,20.0
46,21.960,0.1194,0.2222,0.0000,0.1389,intermediate,0,38.107,30.0
47,25.783,0.2128,0.2564,0.1538,0.2308,intermediate,0,47.870,30.0
48,19.681,0.2231,0.2564,0.2051,0.2051,intermediate,0,37.810,20.0
49,25.317,0.1705,0.2564,0.2308,0.0000,intermediate,0,48.757,30.0
50,19.746,0.1151,0.2093,0.0000,0.1395,intermediate,0,42.276,20.0
51,17.227,0.1484,0.2581,0.0000,0.1935,intermediate,0,45.301,20.0
52,6.762,0.2564,0.3077,0.2051,0.2564,crystalline,0,30.680,10.0
53,14.961,0.2174,0.2791,0.1628,0.2093,intermediate,0,32.635,20.0
54,27.332,0.1461,0.2368,0.0000,0.2105,intermediate,0,46.220,30.0
55,24.722,0.1671,0.2683,0.0000,0.2439,intermediate,0,43.212,30.0
56,19.648,0.1542,0.2500,0.0000,0.2222,intermediate,0,46.509,20.0
57,26.079,0.1024,0.2927,0.0000,0.0000,amorphous,0,40.983,30.0
58,14.154,0.1937,0.3125,0.0000,0.2812,intermediate,0,42.459,20.0
59,17.778,0.1177,0.2258,0.0000,0.1290,intermediate,0,34.515,20.0
60,11.264,0.2310,0.2619,0.2143,0.2143,intermediate,0,29.743,20.0
61,20.464,0.1476,0.2381,0.0000,0.2143,intermediate,0,45.353,30.0
62,16.277,0.2786,0.3571,0.2143,0.2619,crystalline,0,35.854,20.0
63,9.082,0.2430,0.3256,0.2093,0.1860,intermediate,0,33.187,10.0
64,15.002,0.1695,0.3171,0.0000,0.1951,intermediate,0,41.490,20.0
65,21.468,0.2100,0.3333,0.0000,0.3111,intermediate,0,37.797,30.0
66,22.803,0.1338,0.2059,0.0000,0.2059,intermediate,0,49.244,30.0
67,7.594,0.2365,0.2973,0.2162,0.1892,intermediate,0,35.934,10.0
68,9.702,0.1648,0.2955,0.0000,0.2045,intermediate,0,26.317,10.0
69,20.123,0.2675,0.3500,0.2000,0.2500,crystalline,0,39.021,30.0
70,23.623,0.2533,0.3111,0.2222,0.2222,crystalline,0,37.798,30.0
71,10.471,0.1333,0.2667,0.0000,0.1333,intermediate,0,30.545,20.0
72,21.156,0.1375,0.2143,0.1786,0.0000,intermediate,0,37.262,30.0
73,8.050,0.2517,0.2759,0.2069,0.2759,crystalline,0,32.099,10.0
74,27.022,0.1024,0.2927,0.0000,0.0000,amorphous,0,42.020,30.0
75,27.670,0.2393,0.2857,0.2143,0.2143,intermediate,0,47.399,30.0
76,18.021,0.1600,0.2667,0.0000,0.2222,intermediate,0,42.448,20.0
77,25.783,0.1212,0.3462,0.0000,0.0000,amorphous,0,46.135,30.0
78,14.806,0.2105,0.2791,0.1628,0.1860,intermediate,0,34.243,20.0
79,7.470,0.2000,0.2444,0.1556,0.2000,intermediate,0,26.334,10.0
80,22.970,0.1771,0.2917,0.0000,0.2500,intermediate,0,50.337,30.0
81,8.957,0.1489,0.2391,0.0000,0.2174,intermediate,0,28.006,10.0
82,25.610,0.1515,0.3030,0.0000,0.1515,intermediate,0,40.777,30.0
83,19.496,0.2520,0.3061,0.2041,0.2449,crystalline,0,32.530,20.0
84,26.668,0.1526,0.2821,0.0000,0.1795,intermediate,0,41.698,30.0
85,15.363,0.2057,0.2727,0.1591,0.1818,intermediate,0,28.513,20.0
86,7.419,0.1695,0.3171,0.0000,0.1951,intermediate,0,25.372,10.0
87,20.024,0.2326,0.2826,0.1957,0.2174,intermediate,0,39.769,20.0
88,13.314,0.1340,0.2553,0.0000,0.1489,intermediate,0,27.408,20.0
89,5.448,0.1366,0.2439,0.0000,0.1707,intermediate,0,32.179,6.0
90,29.558,0.2139,0.2500,0.1944,0.1944,intermediate,0,47.132,30.0
91,19.102,0.1478,0.2444,0.1778,0.0000,intermediate,0,31.496,20.0
92,4.502,0.2652,0.3636,0.2121,0.2121,crystalline,0,33.493,6.0
93,13.170,0.2029,0.2059,0.1471,0.2647,intermediate,0,29.600,20.0
94,23.745,0.2500,0.3256,0.2093,0.2093,crystalline,0,41.991,30.0
95,28.684,0.1838,0.3235,0.0000,0.2353,intermediate,0,48.657,30.0
96,14.536,0.1490,0.2292,0.0000,0.2292,intermediate,0,28.751,20.0
97,25.426,0.1475,0.2500,0.0000,0.2000,intermediate,0,50.256,30.0
98,18.269,0.2167,0.2708,0.1875,0.1875,intermediate,0,31.481,20.0
99,25.040,0.1636,0.2727,0.0000,0.2273,intermediate,0,44.677,30.0
100,23.419,0.1442,0.2326,0.0000,0.2093,intermediate,0,45.998,30.0
101,16.552,0.2628,0.2791,0.2326,0.2791,crystalline,0,33.539,20.0
102,11.248,0.1886,0.3636,0.0000,0.2045,intermediate,0,32.124,20.0
103,28.464,0.1692,0.3077,0.0000,0.2051,intermediate,0,46.060,30.0
104,29.040,0.1750,0.3000,0.2000,0.0000,intermediate,0,51.652,30.0
105,12.861,0.2869,0.3810,0.2143,0.2619,crystalline,0,38.635,20.0
106,25.091,0.1641,0.2826,0.0000,0.2174,intermediate,0,40.582,30.0
107,4.192,0.1942,0.2558,0.1395,0.1860,intermediate,0,28.004,6.0
108,25.964,0.1628,0.3256,0.0000,0.1628,intermediate,0,38.987,30.0
109,16.674,0.2311,0.3333,0.1556,0.2000,intermediate,0,36.772,20.0
110,22.823,0.1243,0.2162,0.0000,0.1622,intermediate,0,48.866,30.0
111,5.931,0.1679,0.2381,0.1190,0.1429,intermediate,0,26.896,6.0
112,9.674,0.1576,0.2826,0.0000,0.1957,intermediate,0,24.895,10.0
113,11.822,0.2067,0.2444,0.1556,0.2222,intermediate,0,31.300,20.0
114,19.925,0.1702,0.3404,0.0000,0.1702,intermediate,0,41.176,20.0
115,21.598,0.1489,0.2500,0.0000,0.2045,intermediate,0,32.855,30.0
116,23.262,0.2341,0.2955,0.1591,0.2500,intermediate,0,35.370,30.0
117,20.437,0.2479,0.2766,0.2128,0.2553,intermediate,0,36.646,30.0
118,10.763,0.1750,0.2045,0.1591,0.1591,intermediate,0,25.249,20.0
119,13.771,0.1273,0.3636,0.0000,0.0000,amorphous,0,33.102,20.0
120,26.244,0.2060,0.2381,0.1667,0.2143,intermediate,0,48.955,30.0
121,16.194,0.1867,0.2667,0.1333,0.1556,intermediate,0,27.758,20.0
