ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,9.732,0.1333,0.1667,0.0000,0.2500,intermediate,0,43.808,10.0
1,7.089,0.1000,0.1250,0.0000,0.1875,intermediate,0,37.741,10.0
2,10.272,0.1083,0.1667,0.0000,0.1667,intermediate,0,47.041,20.0
3,7.501,0.1393,0.2143,0.0000,0.2143,intermediate,0,44.108,10.0
4,9.766,0.0971,0.1765,0.0000,0.1176,amorphous,0,32.250,10.0
5,8.193,0.0780,0.1200,0.0000,0.1200,intermediate,0,32.218,10.0
6,7.498,0.1238,0.1905,0.0000,0.1905,intermediate,0,40.099,10.0
7,8.170,0.1300,0.2000,0.0000,0.2000,intermediate,0,46.284,10.0
8,5.706,0.0765,0.1176,0.0000,0.1176,amorphous,0,36.983,6.0
9,8.393,0.0917,0.1667,0.0000,0.1111,amorphous,0,32.223,10.0
10,8.709,0.0941,0.1176,0.0000,0.1765,amorphous,0,30.938,10.0
11,7.385,0.0583,0.0833,0.0833,0.0000,amorphous,0,32.488,10.0
12,8.712,0.1219,0.1875,0.0000,0.1875,intermediate,0,43.151,10.0
13,7.731,0.1773,0.2727,0.0000,0.2727,intermediate,0,43.539,10.0
14,4.910,0.1259,0.1034,0.1379,0.1379,amorphous,0,29.100,6.0
15,5.868,0.0963,0.1481,0.0000,0.1481,intermediate,0,29.239,6.0
16,4.666,0.1460,0.1600,0.1200,0.1600,intermediate,0,40.211,6.0
17,4.946,0.1179,0.1071,0.1071,0.1429,amorphous,0,29.945,6.0
18,6.507,0.1182,0.1818,0.0000,0.1818,intermediate,0,33.770,10.0
19,8.312,0.1040,0.1600,0.0000,0.1600,intermediate,0,28.688,10.0
20,4.250,0.1219,0.1875,0.0000,0.1875,intermediate,0,37.474,6.0
21,1.943,0.0848,0.1304,0.0000,0.1304,intermediate,0,40.088,6.0
22,8.396,0.1269,0.2308,0.0000,0.1538,intermediate,0,46.774,10.0
23,9.953,0.1300,0.2000,0.0000,0.2000,intermediate,0,29.793,10.0
24,4.971,0.0886,0.1364,0.0000,0.1364,intermediate,0,33.437,6.0
25,9.276,0.1031,0.1875,0.0000,0.1250,intermediate,0,31.928,10.0
26,4.370,0.0812,0.1250,0.0000,0.1250,intermediate,0,26.731,6.0
27,4.770,0.0765,0.1176,0.0000,0.1176,amorphous,0,27.210,6.0
28,10.061,0.1300,0.2000,0.0000,0.2000,intermediate,0,41.876,20.0
29,4.859,0.0780,0.1200,0.0000,0.1200,intermediate,0,27.139,6.0
30,7.626,0.1130,0.1739,0.0000,0.1739,intermediate,0,41.542,10.0
31,5.748,0.1182,0.1818,0.0000,0.1818,intermediate,0,35.100,6.0
32,5.071,0.0929,0.1429,0.0000,0.1429,intermediate,0,26.191,6.0
33,8.745,0.1405,0.1429,0.0952,0.1905,intermediate,0,29.475,10.0
34,9.521,0.1325,0.1500,0.1000,0.1500,intermediate,0,35.224,10.0
35,8.279,0.1300,0.2000,0.0000,0.2000,intermediate,0,26.667,10.0
36,3.680,0.0886,0.1364,0.0000,0.1364,intermediate,0,33.759,6.0
37,9.620,0.0929,0.1429,0.0000,0.1429,intermediate,0,26.097,10.0
38,4.987,0.1074,0.1481,0.0000,0.1852,intermediate,0,26.295,6.0
39,5.496,0.0897,0.1379,0.0000,0.1379,intermediate,0,25.801,6.0
40,4.057,0.0750,0.1154,0.0000,0.1154,amorphous,0,26.700,6.0
41,6.671,0.0650,0.1000,0.0000,0.1000,amorphous,0,31.406,10.0
42,8.807,0.0800,0.1000,0.0000,0.1500,amorphous,0,26.256,10.0
43,5.411,0.0929,0.1429,0.0000,0.1429,intermediate,0,40.331,6.0
44,8.403,0.0565,0.0870,0.0000,0.0870,amorphous,0,24.785,10.0
45,8.106,0.1045,0.1818,0.0000,0.1364,intermediate,0,28.227,10.0
46,1.854,0.0929,0.1429,0.0000,0.1429,intermediate,0,35.422,6.0
47,7.950,0.0812,0.1250,0.0000,0.1250,intermediate,0,30.910,10.0
48,7.957,0.1250,0.1875,0.0625,0.1250,intermediate,0,41.864,10.0
49,5.018,0.0591,0.0909,0.0000,0.0909,amorphous,0,23.223,6.0
50,3.770,0.0900,0.1200,0.0000,0.1600,intermediate,0,28.509,6.0
51,3.772,0.0533,0.0667,0.0000,0.1000,amorphous,0,23.576,6.0
52,8.869,0.1500,0.2000,0.0000,0.2667,intermediate,0,26.848,10.0
53,5.627,0.0703,0.0938,0.0000,0.1250,amorphous,0,23.775,6.0
54,7.709,0.1300,0.2000,0.0000,0.2000,intermediate,0,32.966,10.0
55,4.842,0.0848,0.1304,0.0000,0.1304,intermediate,0,28.710,6.0
56,6.749,0.1130,0.1739,0.0000,0.1739,intermediate,0,25.848,10.0
57,9.321,0.0886,0.1364,0.0000,0.1364,intermediate,0,23.794,10.0
58,4.637,0.1304,0.1429,0.1071,0.1429,intermediate,0,33.865,6.0
59,4.160,0.0726,0.0968,0.0000,0.1290,amorphous,0,22.676,6.0
60,4.453,0.1155,0.1379,0.1034,0.1034,amorphous,0,26.140,6.0
61,3.829,0.0886,0.1364,0.0000,0.1364,intermediate,0,29.823,6.0
62,9.033,0.0500,0.0769,0.0000,0.0769,amorphous,0,22.420,10.0
63,8.959,0.1031,0.1250,0.0625,0.1250,intermediate,0,36.877,10.0
64,9.774,0.0868,0.1579,0.0000,0.1053,amorphous,0,25.961,10.0
65,6.385,0.1795,0.2273,0.0909,0.2273,intermediate,0,23.723,10.0
66,3.788,0.0571,0.0714,0.0000,0.1071,amorphous,0,22.999,6.0
67,4.231,0.0591,0.0909,0.0000,0.0909,amorphous,0,20.986,6.0
68,6.261,0.0929,0.1429,0.0000,0.1429,intermediate,0,27.373,10.0
69,4.540,0.0906,0.1250,0.0000,0.1562,intermediate,0,21.151,6.0
70,6.322,0.0513,0.0789,0.0000,0.0789,amorphous,0,20.979,10.0
71,5.720,0.0591,0.0909,0.0000,0.0909,amorphous,0,22.899,6.0
72,5.681,0.0722,0.1111,0.0000,0.1111,amorphous,0,35.618,6.0
73,3.687,0.0722,0.1111,0.0000,0.1111,amorphous,0,25.722,6.0
74,4.917,0.1145,0.1613,0.0000,0.1935,intermediate,0,22.859,6.0
75,3.893,0.0743,0.1143,0.0000,0.1143,amorphous,0,19.802,6.0
76,5.917,0.0542,0.0833,0.0000,0.0833,amorphous,0,19.728,6.0
77,3.665,0.1076,0.1515,0.0000,0.1818,intermediate,0,20.954,6.0
78,4.805,0.0609,0.0938,0.0000,0.0938,amorphous,0,20.732,6.0
79,6.841,0.0406,0.0625,0.0000,0.0625,amorphous,0,20.450,10.0
80,6.328,0.0650,0.1000,0.0000,0.1000,amorphous,0,29.741,10.0
81,7.319,0.1130,0.1739,0.0000,0.1739,intermediate,0,33.838,10.0
82,5.818,0.0929,0.1429,0.0000,0.1429,intermediate,0,22.189,6.0
83,9.430,0.0833,0.0833,0.0833,0.0833,amorphous,0,19.940,10.0
84,5.963,0.0629,0.0968,0.0000,0.0968,amorphous,0,22.524,6.0
85,4.877,0.1000,0.1538,0.0000,0.1538,intermediate,0,30.216,6.0
86,8.925,0.0971,0.1765,0.0000,0.1176,amorphous,0,29.423,10.0
87,8.005,0.0848,0.1304,0.0000,0.1304,intermediate,0,20.849,10.0
88,4.393,0.0848,0.1304,0.0000,0.1304,intermediate,0,20.112,6.0
89,8.962,0.0765,0.1176,0.0000,0.1176,amorphous,0,24.677,10.0
90,6.616,0.0574,0.0882,0.0000,0.0882,amorphous,0,18.134,10.0
91,5.556,0.1040,0.1600,0.0000,0.1600,intermediate,0,27.345,6.0
92,7.441,0.0971,0.1765,0.0000,0.1176,amorphous,0,34.950,10.0
93,8.150,0.1354,0.2083,0.0000,0.2083,intermediate,0,21.949,10.0
94,9.960,0.1368,0.2105,0.0000,0.2105,intermediate,0,24.026,10.0
95,6.074,0.0952,0.0952,0.0952,0.0952,amorphous,0,31.085,10.0
96,4.136,0.0516,0.0645,0.0000,0.0968,amorphous,0,21.915,6.0
97,4.471,0.0767,0.1333,0.0000,0.1000,amorphous,0,22.951,6.0
98,10.228,0.1147,0.1765,0.0000,0.1765,intermediate,0,32.501,20.0
99,3.668,0.1179,0.1429,0.0714,0.1429,intermediate,0,24.534,6.0
100,4.278,0.0214,0.0000,0.0000,0.0714,amorphous,0,16.792,6.0
101,6.831,0.0857,0.1143,0.0571,0.0857,amorphous,0,17.230,10.0
102,5.554,0.1176,0.1176,0.1176,0.1176,amorphous,0,31.401,6.0
103,2.771,0.0897,0.1379,0.0000,0.1379,intermediate,0,28.277,6.0
104,3.322,0.0696,0.1071,0.0000,0.1071,amorphous,0,26.177,6.0
105,5.253,0.1074,0.1481,0.0000,0.1852,intermediate,0,21.292,6.0
106,3.713,0.0780,0.1200,0.0000,0.1200,intermediate,0,25.073,6.0
107,4.081,0.0214,0.0000,0.0000,0.0714,amorphous,0,17.471,6.0
108,9.018,0.1475,0.1500,0.1000,0.2000,intermediate,0,23.455,10.0
109,3.718,0.0897,0.1379,0.0000,0.1379,intermediate,0,17.309,6.0
110,10.030,0.0684,0.1053,0.0000,0.1053,amorphous,0,18.855,20.0
111,4.420,0.1000,0.1538,0.0000,0.1538,intermediate,0,22.346,6.0
112,8.059,0.1000,0.1739,0.0000,0.1304,intermediate,0,25.616,10.0
113,9.294,0.1083,0.1667,0.0000,0.1667,intermediate,0,25.787,10.0
114,8.908,0.0812,0.1250,0.0000,0.1250,intermediate,0,17.758,10.0
115,3.577,0.0914,0.1034,0.0690,0.1034,amorphous,0,26.741,6.0
116,4.630,0.0557,0.0857,0.0000,0.0857,amorphous,0,19.489,6.0
117,5.582,0.0952,0.1613,0.0000,0.1290,intermediate,0,16.245,6.0
118,4.352,0.0433,0.0667,0.0000,0.0667,amorphous,0,15.194,6.0
119,9.057,0.0900,0.1200,0.0000,0.1600,intermediate,0,19.145,10.0
120,4.569,0.0767,0.1333,0.0000,0.1000,amorphous,0,23.692,6.0
