ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac,strand_id,seq_next_d,hit_384,hit_629,p_bound
0,99.000,0.0350,0.0000,0.1000,0.0000,0.1111,0.3333,0,amorphous,0,27.729,20.0,-1,,0,0,0
1,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,17.706,20.0,-1,,0,0,0
2,99.000,0.0269,0.0000,0.0769,0.0000,0.0000,0.0000,0,amorphous,0,26.310,20.0,-1,,0,0,0
3,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,22.513,20.0,-1,,0,0,0
4,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,35.458,20.0,-1,,0,0,0
5,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,34.650,20.0,-1,,0,0,0
6,99.000,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,19.818,20.0,-1,,0,0,0
7,99.000,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,53.214,20.0,-1,,0,0,0
8,99.000,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,40.682,20.0,-1,,0,0,0
9,99.000,0.0219,0.0000,0.0625,0.0000,0.0667,0.2000,0,amorphous,0,34.519,20.0,-1,,0,0,0
10,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,27.955,20.0,-1,,0,0,0
11,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,0,amorphous,0,51.315,20.0,-1,,0,0,0
12,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,22.726,20.0,-1,,0,0,0
13,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,53.111,20.0,-1,,0,0,0
14,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,34.978,20.0,-1,,0,0,0
15,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.3333,0,amorphous,0,36.424,20.0,-1,,0,0,0
16,99.000,0.0812,0.0000,0.1250,0.1250,0.2857,1.0000,0,intermediate,0,26.064,20.0,-1,,0,0,0
17,99.000,0.0437,0.0000,0.1250,0.0000,0.1429,0.2500,0,amorphous,0,35.822,20.0,-1,,0,0,0
18,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,56.418,20.0,-1,,0,0,0
19,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,35.531,20.0,-1,,0,0,0
20,99.000,0.1250,0.1250,0.1250,0.1250,0.2857,1.1400,0,intermediate,0,29.690,20.0,-1,,0,0,0
21,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,45.009,20.0,-1,,0,0,0
22,99.000,0.0318,0.0000,0.0909,0.0000,0.2000,0.6667,0,amorphous,0,47.881,20.0,-1,,0,0,0
23,99.000,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,45.574,20.0,-1,,0,0,0
24,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,28.900,20.0,-1,,0,0,0
25,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,49.592,20.0,-1,,0,0,0
26,99.000,0.0318,0.0000,0.0909,0.0000,0.0000,0.0000,0,amorphous,0,47.529,20.0,-1,,0,0,0
27,99.000,0.0350,0.0000,0.1000,0.0000,0.1111,0.5000,0,amorphous,0,26.383,20.0,-1,,0,0,0
28,99.000,0.0437,0.0000,0.1250,0.0000,0.2857,0.6667,0,amorphous,0,28.309,20.0,-1,,0,0,0
29,99.000,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,amorphous,0,54.643,20.0,-1,,0,0,0
30,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,30.505,20.0,-1,,0,0,0
31,99.000,0.0350,0.0000,0.1000,0.0000,0.1111,0.2500,0,amorphous,0,20.174,20.0,-1,,0,0,0
32,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.8067,0,amorphous,0,48.395,20.0,-1,,0,0,0
33,99.000,0.0350,0.0000,0.1000,0.0000,0.2222,0.5000,0,amorphous,0,41.888,20.0,-1,,0,0,0
34,99.000,0.0318,0.0000,0.0909,0.0000,0.0000,0.0000,0,amorphous,0,38.731,20.0,-1,,0,0,0
35,99.000,0.0437,0.1250,0.0000,0.0000,0.1429,0.3333,0,amorphous,0,52.615,20.0,-1,,0,0,0
36,99.000,0.0269,0.0000,0.0769,0.0000,0.2500,0.7400,0,amorphous,0,17.492,20.0,-1,,0,0,0
37,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,41.105,20.0,-1,,0,0,0
38,99.000,0.0292,0.0000,0.0833,0.0000,0.3636,0.8067,0,amorphous,0,23.518,20.0,-1,,0,0,0
39,99.000,0.0000,0.0000,0.0000,0.0000,0.2500,0.5400,0,amorphous,0,31.188,20.0,-1,,0,0,0
40,99.000,0.0437,0.1250,0.0000,0.0000,0.1429,0.2000,0,amorphous,0,39.373,20.0,-1,,0,0,0
41,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,28.123,20.0,-1,,0,0,0
42,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.3333,0,amorphous,0,39.751,20.0,-1,,0,0,0
43,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2500,0,amorphous,0,55.056,20.0,-1,,0,0,0
44,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,41.559,20.0,-1,,0,0,0
45,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,14.720,20.0,-1,,0,0,0
46,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.2000,0,amorphous,0,36.489,20.0,-1,,0,0,0
47,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.3333,0,amorphous,0,20.522,20.0,-1,,0,0,0
48,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,0,amorphous,0,46.421,20.0,-1,,0,0,0
49,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,51.931,20.0,-1,,0,0,0
50,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,50.415,20.0,-1,,0,0,0
51,99.000,0.0350,0.0000,0.1000,0.0000,0.1111,0.2000,0,amorphous,0,47.592,20.0,-1,,0,0,0
52,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.5000,0,amorphous,0,46.097,20.0,-1,,0,0,0
53,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,16.698,20.0,-1,,0,0,0
54,99.000,0.0292,0.0000,0.0833,0.0000,0.1818,0.5400,0,amorphous,0,32.948,20.0,-1,,0,0,0
55,99.000,0.0000,0.0000,0.0000,0.0000,0.1429,0.2000,0,amorphous,0,32.616,20.0,-1,,0,0,0
56,99.000,0.0350,0.0000,0.1000,0.0000,0.2222,0.5000,0,amorphous,0,38.361,20.0,-1,,0,0,0
57,99.000,0.0864,0.0000,0.0909,0.1818,0.4000,0.7114,0,intermediate,0,41.786,20.0,-1,,0,0,0
58,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,31.631,20.0,-1,,0,0,0
59,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,20.133,20.0,-1,,0,0,0
60,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.5000,0,amorphous,0,33.002,20.0,-1,,0,0,0
61,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,46.077,20.0,-1,,0,0,0
62,99.000,0.0250,0.0000,0.0714,0.0000,0.0769,0.3333,0,amorphous,0,43.258,20.0,-1,,0,0,0
63,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,amorphous,0,54.645,20.0,-1,,0,0,0
64,99.000,0.0437,0.1250,0.0000,0.0000,0.2857,0.6400,0,amorphous,0,15.059,20.0,-1,,0,0,0
65,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.1667,0,amorphous,0,52.332,20.0,-1,,0,0,0
66,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,32.452,20.0,-1,,0,0,0
67,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,28.515,20.0,-1,,0,0,0
68,99.000,0.0389,0.0000,0.1111,0.0000,0.5000,0.9400,0,amorphous,0,16.586,20.0,-1,,0,0,0
69,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,63.485,20.0,-1,,0,0,0
70,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,30.749,20.0,-1,,0,0,0
71,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,38.022,20.0,-1,,0,0,0
72,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.3333,0,amorphous,0,27.463,20.0,-1,,0,0,0
73,99.000,0.0437,0.0000,0.1250,0.0000,0.1429,0.2500,0,amorphous,0,41.273,20.0,-1,,0,0,0
74,99.000,0.0437,0.0000,0.1250,0.0000,0.1429,0.3333,0,amorphous,0,16.455,20.0,-1,,0,0,0
75,99.000,0.0792,0.0000,0.0833,0.1667,0.0909,0.2000,0,intermediate,0,42.074,20.0,-1,,0,0,0
76,99.000,0.0292,0.0000,0.0833,0.0000,0.1000,0.2500,0,amorphous,0,35.527,20.0,-1,,0,0,0
77,99.000,0.0389,0.0000,0.1111,0.0000,0.1429,0.5000,0,amorphous,0,43.624,20.0,-1,,0,0,0
78,99.000,0.0731,0.0000,0.0769,0.1538,0.2500,0.7400,0,intermediate,0,39.546,20.0,-1,,0,0,0
79,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.2000,0,amorphous,0,20.710,20.0,-1,,0,0,0
80,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.5686,0,amorphous,0,23.483,20.0,-1,,0,0,0
81,99.000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0,amorphous,0,45.885,20.0,-1,,0,0,0
82,99.000,0.0437,0.1250,0.0000,0.0000,0.2857,0.3333,0,amorphous,0,50.045,20.0,-1,,0,0,0
83,99.000,0.0350,0.0000,0.1000,0.0000,0.1111,0.2000,0,amorphous,0,27.894,20.0,-1,,0,0,0
84,99.000,0.0389,0.1111,0.0000,0.0000,0.1250,0.2500,0,amorphous,0,18.147,20.0,-1,,0,0,0
85,99.000,0.0350,0.0000,0.1000,0.0000,0.1250,0.2500,0,amorphous,0,42.846,20.0,-1,,0,0,0
86,99.000,0.0389,0.0000,0.1111,0.0000,0.2500,0.5400,0,amorphous,0,14.319,20.0,-1,,0,0,0
87,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,14.360,20.0,-1,,0,0,0
88,99.000,0.0000,0.0000,0.0000,0.0000,0.2222,0.8067,0,amorphous,0,38.862,20.0,-1,,0,0,0
89,99.000,0.0350,0.0000,0.1000,0.0000,0.2222,0.6667,0,amorphous,0,25.307,20.0,-1,,0,0,0
90,99.000,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,39.707,20.0,-1,,0,0,0
91,99.000,0.0350,0.0000,0.1000,0.0000,0.3333,0.7400,0,amorphous,0,49.496,20.0,-1,,0,0,0
92,99.000,0.0318,0.0000,0.0909,0.0000,0.1000,0.1667,0,amorphous,0,34.985,20.0,-1,,0,0,0
93,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,31.561,20.0,-1,,0,0,0
94,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,53.342,20.0,-1,,0,0,0
95,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0,amorphous,0,52.183,20.0,-1,,0,0,0
96,99.000,0.0731,0.0000,0.0769,0.1538,0.1818,0.2857,0,intermediate,0,47.346,20.0,-1,,0,0,0
97,99.000,0.0233,0.0000,0.0667,0.0000,0.1538,0.3333,0,amorphous,0,27.449,20.0,-1,,0,0,0
98,99.000,0.0000,0.0000,0.0000,0.0000,0.2500,1.1400,0,amorphous,0,41.119,20.0,-1,,0,0,0
99,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,61.663,20.0,-1,,0,0,0
100,99.000,0.0437,0.0000,0.1250,0.0000,0.2857,0.6400,0,amorphous,0,14.911,20.0,-1,,0,0,0
101,99.000,0.0437,0.1250,0.0000,0.0000,0.4286,0.7500,0,amorphous,0,43.122,20.0,-1,,0,0,0
102,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,amorphous,0,54.944,20.0,-1,,0,0,0
103,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,12.536,20.0,-1,,0,0,0
104,99.000,0.0437,0.1250,0.0000,0.0000,0.1429,0.3333,0,amorphous,0,48.447,20.0,-1,,0,0,0
105,99.000,0.0318,0.0000,0.0909,0.0000,0.2000,0.5000,0,amorphous,0,38.244,20.0,-1,,0,0,0
106,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,53.867,20.0,-1,,0,0,0
107,99.000,0.0000,0.0000,0.0000,0.0000,0.1818,0.8067,0,amorphous,0,28.611,20.0,-1,,0,0,0
108,99.000,0.0000,0.0000,0.0000,0.0000,0.6000,1.0000,0,amorphous,0,22.810,20.0,-1,,0,0,0
109,99.000,0.0792,0.0000,0.0833,0.1667,0.3636,0.7114,0,intermediate,0,44.509,20.0,-1,,0,0,0
110,99.000,0.0000,0.0000,0.0000,0.0000,0.1429,0.5000,0,amorphous,0,21.769,20.0,-1,,0,0,0
111,99.000,0.0437,0.0000,0.1250,0.0000,0.2857,0.5000,0,amorphous,0,30.625,20.0,-1,,0,0,0
112,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,50.558,20.0,-1,,0,0,0
113,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,21.233,20.0,-1,,0,0,0
114,99.000,0.0000,0.0000,0.0000,0.0000,0.1250,0.2500,0,amorphous,0,45.431,20.0,-1,,0,0,0
115,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,37.346,20.0,-1,,0,0,0
116,99.000,0.0318,0.0000,0.0909,0.0000,0.2000,0.5400,0,amorphous,0,23.267,20.0,-1,,0,0,0
117,99.000,0.0269,0.0000,0.0769,0.0000,0.1667,0.2500,0,amorphous,0,33.888,20.0,-1,,0,0,0
118,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,54.112,20.0,-1,,0,0,0
119,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,29.789,20.0,-1,,0,0,0
120,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,29.394,20.0,-1,,0,0,0
121,99.000,0.0318,0.0000,0.0909,0.0000,0.1000,0.3333,0,amorphous,0,34.294,20.0,-1,,0,0,0
122,99.000,0.0318,0.0000,0.0909,0.0000,0.1000,0.3333,0,amorphous,0,30.204,20.0,-1,,0,0,0
123,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,0,amorphous,0,50.296,20.0,-1,,0,0,0
124,99.000,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,34.213,20.0,-1,,0,0,0
125,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.2500,0,amorphous,0,36.614,20.0,-1,,0,0,0
126,99.000,0.0269,0.0000,0.0769,0.0000,0.0000,0.0000,0,amorphous,0,41.939,20.0,-1,,0,0,0
127,99.000,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,31.885,20.0,-1,,0,0,0
128,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,39.557,20.0,-1,,0,0,0
129,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2500,0,amorphous,0,37.795,20.0,-1,,0,0,0
130,99.000,0.0437,0.1250,0.0000,0.0000,0.1429,0.2500,0,amorphous,0,36.516,20.0,-1,,0,0,0
131,99.000,0.0000,0.0000,0.0000,0.0000,0.1429,0.5000,0,amorphous,0,24.718,20.0,-1,,0,0,0
132,99.000,0.0350,0.0000,0.1000,0.0000,0.1111,0.5000,0,amorphous,0,53.903,20.0,-1,,0,0,0
133,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,35.226,20.0,-1,,0,0,0
134,99.000,0.0437,0.1250,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,53.217,20.0,-1,,0,0,0
135,99.000,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,amorphous,0,58.727,20.0,-1,,0,0,0
136,99.000,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,32.510,20.0,-1,,0,0,0
137,99.000,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,amorphous,0,62.250,20.0,-1,,0,0,0
138,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,30.928,20.0,-1,,0,0,0
139,99.000,0.0389,0.0000,0.1111,0.0000,0.2500,0.3333,0,amorphous,0,46.693,20.0,-1,,0,0,0
140,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,58.638,20.0,-1,,0,0,0
141,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.2500,0,amorphous,0,50.007,20.0,-1,,0,0,0
142,99.000,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,25.698,20.0,-1,,0,0,0
143,99.000,0.0350,0.0000,0.1000,0.0000,0.3333,0.5150,0,amorphous,0,18.059,20.0,-1,,0,0,0
144,99.000,0.0269,0.0000,0.0769,0.0000,0.0833,0.2000,0,amorphous,0,30.431,20.0,-1,,0,0,0
145,99.000,0.0350,0.0000,0.1000,0.0000,0.2500,1.0000,0,amorphous,0,48.928,20.0,-1,,0,0,0
146,99.000,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,41.315,20.0,-1,,0,0,0
147,99.000,0.0000,0.0000,0.0000,0.0000,0.4000,0.6667,0,amorphous,0,27.457,20.0,-1,,0,0,0
148,99.000,0.0000,0.0000,0.0000,0.0000,0.4000,1.1400,0,amorphous,0,66.108,20.0,-1,,0,0,0
149,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,53.900,20.0,-1,,0,0,0
150,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.5000,0,amorphous,0,44.913,20.0,-1,,0,0,0
151,99.000,0.0233,0.0000,0.0667,0.0000,0.0000,0.0000,0,amorphous,0,32.826,20.0,-1,,0,0,0
152,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,13.258,20.0,-1,,0,0,0
153,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,41.139,20.0,-1,,0,0,0
154,99.000,0.0875,0.1250,0.1250,0.0000,0.0000,0.0000,0,intermediate,0,43.455,20.0,-1,,0,0,0
155,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,59.323,20.0,-1,,0,0,0
156,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.1667,0,amorphous,0,28.948,20.0,-1,,0,0,0
157,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,53.410,20.0,-1,,0,0,0
158,99.000,0.0318,0.0000,0.0909,0.0000,0.0000,0.0000,0,amorphous,0,36.678,20.0,-1,,0,0,0
159,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,29.847,20.0,-1,,0,0,0
160,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,21.296,20.0,-1,,0,0,0
161,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,23.864,20.0,-1,,0,0,0
162,99.000,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,35.877,20.0,-1,,0,0,0
163,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,52.831,20.0,-1,,0,0,0
164,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,57.889,20.0,-1,,0,0,0
165,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,amorphous,0,18.943,20.0,-1,,0,0,0
166,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,35.706,20.0,-1,,0,0,0
167,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,21.616,20.0,-1,,0,0,0
168,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,34.793,20.0,-1,,0,0,0
169,99.000,0.0437,0.1250,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,41.736,20.0,-1,,0,0,0
170,99.000,0.0292,0.0000,0.0833,0.0000,0.0909,0.1667,0,amorphous,0,21.584,20.0,-1,,0,0,0
171,99.000,0.0875,0.1250,0.1250,0.0000,0.1429,0.0000,0,intermediate,0,57.410,20.0,-1,,0,0,0
