ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac,strand_id,seq_next_d,hit_384,hit_629,p_bound
0,2.765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,0.000,20.0,0,7.992,0,0,1
1,2.790,0.0000,0.0000,0.0000,0.0000,0.1667,0.2500,1,amorphous,0,-0.628,20.0,0,7.149,0,1,1
2,2.770,0.0000,0.0000,0.0000,0.0000,0.3333,0.4000,1,amorphous,0,-1.685,20.0,0,7.432,0,1,1
3,2.778,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,-3.422,20.0,0,9.468,0,1,1
4,2.760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-7.424,20.0,0,8.413,0,0,1
5,2.763,0.0437,0.0000,0.1250,0.0000,0.1429,0.2000,0,intermediate,0,-13.461,20.0,0,6.942,0,1,1
6,2.792,0.0000,0.0000,0.0000,0.0000,0.1429,0.2500,0,amorphous,0,-18.743,20.0,0,8.529,0,1,1
7,2.800,0.0000,0.0000,0.0000,0.0000,0.2500,0.6667,1,amorphous,0,-24.024,20.0,0,8.036,0,1,1
8,2.761,0.0000,0.0000,0.0000,0.0000,0.1429,0.2000,0,amorphous,0,-24.972,20.0,0,6.960,0,1,1
9,2.775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-28.573,20.0,0,9.928,0,0,1
10,2.747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-26.443,20.0,0,,0,0,1
11,2.764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,27.612,20.0,2,7.994,0,0,1
12,2.793,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0,amorphous,0,23.504,20.0,2,7.149,0,1,1
13,2.767,0.0437,0.1250,0.0000,0.0000,0.1429,0.1667,1,intermediate,0,22.023,20.0,2,7.438,0,0,1
14,2.766,0.0350,0.0000,0.1000,0.0000,0.1111,0.3333,1,amorphous,0,22.562,20.0,2,9.566,0,0,1
15,2.802,0.0000,0.0000,0.0000,0.0000,0.4000,1.1400,0,amorphous,0,25.405,20.0,2,8.306,0,1,1
16,2.800,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,1,amorphous,0,25.720,20.0,2,6.971,1,0,1
17,2.790,0.0000,0.0000,0.0000,0.0000,0.1429,0.2000,1,amorphous,0,23.757,20.0,2,8.553,0,1,1
18,2.759,0.0000,0.0000,0.0000,0.0000,0.1429,0.2000,1,amorphous,0,19.285,20.0,2,7.985,0,0,1
19,2.770,0.0437,0.1250,0.0000,0.0000,0.2857,0.4000,1,intermediate,0,15.570,20.0,2,7.060,0,1,1
20,2.695,0.0350,0.0000,0.1000,0.0000,0.2222,0.4733,1,amorphous,0,8.652,20.0,2,9.827,1,1,1
21,2.771,0.0437,0.1250,0.0000,0.0000,0.4286,0.7500,0,intermediate,0,2.778,20.0,2,,0,1,1
22,2.721,0.0389,0.0000,0.1111,0.0000,0.1429,0.3333,0,amorphous,0,7.445,20.0,1,8.891,0,1,1
23,2.785,0.0389,0.0000,0.1111,0.0000,0.1250,0.2500,0,amorphous,0,-0.489,20.0,1,6.821,0,0,1
24,2.795,0.0437,0.1250,0.0000,0.0000,0.2857,0.3333,1,intermediate,0,-6.110,20.0,1,6.735,0,1,1
25,2.791,0.0000,0.0000,0.0000,0.0000,0.1667,0.2000,0,amorphous,0,-10.861,20.0,1,8.035,0,0,1
26,2.766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-13.978,20.0,1,7.970,0,0,1
27,2.764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-15.231,20.0,1,7.997,0,0,1
28,2.789,0.0000,0.0000,0.0000,0.0000,0.1250,0.2000,1,amorphous,0,-15.599,20.0,1,8.207,0,0,1
29,2.789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-13.815,20.0,1,9.296,0,0,1
30,2.764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-15.893,20.0,1,7.440,0,0,1
31,2.765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-20.693,20.0,1,8.269,0,0,1
32,2.794,0.0000,0.0000,0.0000,0.0000,0.6667,1.1400,1,amorphous,0,-26.512,20.0,1,,1,0,1
33,2.787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,41.582,20.0,3,8.888,0,0,1
34,2.785,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,39.166,20.0,3,6.819,0,1,1
35,2.790,0.0437,0.1250,0.0000,0.0000,0.2857,0.6400,1,intermediate,0,36.264,20.0,3,6.742,1,0,1
36,2.813,0.0000,0.0000,0.0000,0.0000,0.3333,0.6400,1,amorphous,0,31.611,20.0,3,8.020,1,0,1
37,2.774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,25.533,20.0,3,7.987,0,0,1
38,2.770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,18.930,20.0,3,7.981,0,0,1
39,2.789,0.0437,0.0000,0.1250,0.0000,0.1429,0.2000,0,intermediate,0,12.866,20.0,3,8.382,0,0,1
40,2.998,0.0350,0.0000,0.1000,0.0000,0.1111,0.3333,0,amorphous,0,11.269,20.0,3,9.212,0,1,1
